"MES","SIRB01","SIRB02","SIRB03","SIRB04","SIRB05","SIRB06","SIRB07","SIRB08","SIRB09","SIRB10","SIRB11","SIRB12","SIRB13","SIRB14","SIRB15","SIRB16","SIRB17","SIRB18","SIRB19","SIRB20","SIRB21"
2012-10-01,"13771.751817390001","13771.92355711","0.17173972000000001","1320.7753149768657","1342.8689461882359","22.093631211370166","292.46303362999998","292.46303362999998",,,,,,,,,,,"15384.990165996867","15407.255536928236","22.265370931370168"
2012-11-01,"13925.792728859999","13925.483233049999","-0.30949580999999998","1259.1977500272224","1287.8207816452982","28.623031618075856","292.51394009999996","292.51394009999996",,,,,,,,,,,"15477.504418987221","15505.817954795297","28.313535808075855"
2012-12-01,"13926.720477209999","13926.64467643","-7.5800779999999998E-2","1421.9962290775793","1437.1823856927397","15.186156615160371","292.76888372000002","292.76888372000002",,,,,,,,,,,"15641.485590007578","15656.595945842739","15.110355835160371"
2013-01-01,"14048.99595572","14048.68874048","-0.30721524","1499.9001651002393","1512.4792918932421","12.579126793002843","308.48571099000003","308.48571099000003",,,,,,,,,,,"15857.381831810239","15869.653743363242","12.271911553002843"
2013-02-01,"14100.61848741","14100.81260202","0.19411460999999999","1476.1179023211503","1494.7587718371853","18.640869516035082","308.68435099999999","308.68435099999999",,,,,,,,,,,"15885.42074073115","15904.255724857185","18.834984126035081"
2013-03-01,"14187.676930770001","14188.539946590001","0.86301581999999999","1545.3133726481312","1562.0880670460904","16.774694397959138","308.75949249000001","308.75949249000001",,,,,,,,,,,"16041.749795908132","16059.387506126091","17.637710217959139"
2013-04-01,"14206.26248781","14206.01689101","-0.2455968","1609.1266890343754","1627.6353655576991","18.508676523323629","325.60277579999996","325.60277579999996",,,,,,,,,,,"16140.991952644375","16159.255032367699","18.263079723323628"
2013-05-01,"14007.629278640001","14007.127825740001","-0.50145289999999998","1602.1490347809918","1622.7193941774933","20.570359396501544","325.71372337999998","325.71372337999998",,,,,,,,,,,"15935.492036800992","15955.560943297494","20.068906496501544"
2013-06-01,"13951.702912230001","13951.05503725","-0.64787497999999999","1508.2417970569527","1530.1000811662821","21.858284109329361","325.81490258999997","325.81490258999997",,,,,,,,,,,"15785.759611876954","15806.970021006282","21.21040912932936"
2013-07-01,"14310.633028509999","14310.56313402","-6.9894490000000004E-2","1676.542934594587","1699.9234163584354","23.380481763848366","342.64544288999997","342.64544288999997",,,,,,,,,,,"16329.821405994586","16353.131993268435","23.310587273848366"
