"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
2010-12-01,"4679.6098000000011","26649.527829999999","31329.137630000001","1779.84746","4968.42598","19537.790999999997","82087.643309999999","1205.01332","97742.193960000004","8306.5492599999998","242.42295000000001","3293.0208200000002","250492.04569000003"
2011-01-01,"2182.9028000000003","38740.512709999995","40923.415509999999","1799.0539799999999","4288.1833299999998","20528.878430000001","96414.447719999982","938.49529999999993","95145.198529999994","11243.40337","3498.6690200000003","2465.3367300000009","277245.08191999997"
2011-02-01,"7017.6435600000004","35940.694080000001","42958.337639999998","1335.63076","4552.6976500000001","19036.890790000009","83948.106110000008","972.13181999999995","106919.26052","15138.4627","218.31207000000001","2116.1551500000005","277195.98521000001"
2011-03-01,"5663.5148600000002","33574.875960000005","39238.390820000008","1685.7075600000001","3970.1007400000003","13902.73554","53179.950400000016","1022.0029900000001","76474.503509999995","13841.338070000002","120.19256","2062.87691","205497.7991"
2011-04-01,"10402.634540000001","36785.110829999998","47187.745369999997","1144.00218","4848.9329600000001","17532.590720000004","84896.018400000001","783.34224000000006","126955.01944","20661.64589","234.89957000000001","2365.3651500000014","306609.56192000001"
2011-05-01,"4851.59879","34167.567949999997","39019.166740000001","1366.3460600000001","4431.7921099999994","21604.414670000002","91613.473169999983","583.25991999999997","138117.40175999998","20887.983899999999","1636.8823599999998","2546.8260699999992","321807.54675999994"
2011-06-01,"5339.9592799999991","32617.664519999998","37957.623800000001","1351.0680600000001","5607.0951400000004","25258.394070000002","67705.588170000003","464.52745999999996","117643.07735000001","29863.291570000001","256.77609999999999","3139.7037599999967","289247.14548000001"
2011-07-01,"7147.9467999999997","33199.267200000002","40347.214","1742.9165","6896.5910199999998","18135.679059999999","82137.672920000012","1268.4570700000002","127834.61133000001","30816.98676","294.27285999999998","3165.1502900000014","312639.55181000009"
2011-08-01,"5284.86816","36662.993470000001","41947.861629999999","2173.7173899999998","2697.2888800000001","30069.162380000009","94892.030750000005","1044.18389","130184.34512000001","23509.711230000001","423.16197","3537.2153899999994","330478.6786300001"
2011-09-01,"5101.0703300000005","31307.879250000002","36408.94958","1566.2146","7525.0138500000003","22509.585310000002","89384.47107","1611.2276800000002","150543.00821","21180.045010000002","326.40045000000003","3297.6988799999999","334352.61464000004"
2011-10-01,"4488.1944199999998","23917.448070000002","28405.642490000002","1972.4804900000001","4330.2372500000001","15200.642629999998","67666.653810000003","308.34502000000003","91289.227010000002","26589.17643",,"4436.5060799999992","240198.91120999999"
2011-11-01,"3969.11222","21838.800770000002","25807.912990000001","1985.62345","3224.2002499999999","16689.764029999998","62303.074330000003","870.94686000000002","97647.197700000019","33210.784930000002","2312.7152300000002","3921.3206299999983","247973.54040000003"
2011-12-01,"7015.0650000000005","26593.113379999995","33608.178379999998","1776.1181700000002","5445.7132099999999","20500.234589999996","72312.391180000006","1449.7383699999998","121064.63587000001","25652.957390000003","308.49234000000001","3683.5048499999975","285801.96435000002"
2012-01-01,"5843.3832499999999","25664.012009999999","31507.395259999998","1197.0889899999997","4558.1522700000005","11787.637060000001","58801.824089999995","569.37374","81437.740269999995","24475.766529999997","238.28563","2263.2604500000002","216836.52428999997"
2012-02-01,"6633.2380499999999","24004.404309999998","30637.642359999998","2191.8583599999997","4503.2384700000002","10115.615470000001","44396.449650000002","797.31778000000008","73918.985759999996","41997.902290000005","104.96440000000001","6682.4104100000013","215346.38495000001"
2012-03-01,"7686.81675","27217.659070000005","34904.475820000007","2282.6916900000001","6030.4666799999995","15071.82358","71331.960810000004","1013.72499","107589.91034","33267.644320000007","134.38299000000001","8378.2995199999987","280005.38074000005"
2012-04-01,"8218.1887800000004","20731.580000000002","28949.768780000002","1691.49676","4863.1218200000003","15299.645660000002","60560.659210000005","909.30626000000007","112183.21416","69735.899180000008","301.19228000000004","8204.1763599999995","302698.48047000001"
2012-05-01,"5929.8758699999989","20523.249449999999","26453.125319999999","1141.4347299999999","5940.2124300000005","15945.903450000002","68696.496040000013","1140.04692","98953.394239999994","88859.804219999991","151.5155","8340.8388500000001","315622.77169999998"
2012-06-01,"6241.7331300000005","23179.4895","29421.22263","1889.3284100000001","5324.1787500000009","9107.1347799999985","54322.929880000003","5893.3561799999998","75631.149110000013","112803.53645000001","2406.6508399999998","3666.71011","300466.19714000006"
